2025-06-09 19:09:37 | INFO | NEW_USER | Session: f598b73f... | IP: 127.0.0.1 | Total Active: 1
2025-06-09 19:10:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:10:35 | INFO | STATS | Active: 1 | Last 1min: 1 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 3 | Page Views: 0
2025-06-09 19:11:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:11:35 | INFO | STATS | Active: 1 | Last 1min: 1 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 5 | Page Views: 0
2025-06-09 19:12:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:12:35 | INFO | STATS | Active: 1 | Last 1min: 1 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 7 | Page Views: 0
2025-06-09 19:13:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:13:35 | INFO | STATS | Active: 1 | Last 1min: 1 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 9 | Page Views: 0
2025-06-09 19:14:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:14:35 | INFO | STATS | Active: 1 | Last 1min: 1 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 10 | Page Views: 0
2025-06-09 19:15:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:15:35 | INFO | STATS | Active: 1 | Last 1min: 1 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 11 | Page Views: 0
2025-06-09 19:16:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:16:35 | INFO | STATS | Active: 1 | Last 1min: 1 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 12 | Page Views: 0
2025-06-09 19:17:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:17:35 | INFO | STATS | Active: 1 | Last 1min: 1 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 15 | Page Views: 0
2025-06-09 19:18:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:18:35 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 15 | Page Views: 0
2025-06-09 19:19:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:19:35 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 15 | Page Views: 0
2025-06-09 19:20:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:20:35 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 15 | Page Views: 0
2025-06-09 19:21:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:21:35 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 15 | Page Views: 0
2025-06-09 19:22:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:22:35 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 15 | Page Views: 0
2025-06-09 19:23:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:23:35 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 15 | Page Views: 0
2025-06-09 19:24:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:24:35 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 1 | Total Requests: 15 | Page Views: 0
2025-06-09 19:24:51 | INFO | NEW_USER | Session: f598b73f... | IP: 127.0.0.1 | Total Active: 1
2025-06-09 19:25:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:25:38 | INFO | NEW_USER | Session: f598b73f... | IP: 127.0.0.1 | Total Active: 1
2025-06-09 19:26:04 | INFO | STATS | Active: 1 | Last 1min: 1 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 3 | Page Views: 0
2025-06-09 19:26:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
2025-06-09 19:27:04 | INFO | STATS | Active: 1 | Last 1min: 0 | Last 5min: 1 | Unique IPs: 1 | Total Requests: 3 | Page Views: 0
2025-06-09 19:27:33 | INFO | STATS | Active: 0 | Last 1min: 0 | Last 5min: 0 | Unique IPs: 0 | Total Requests: 0 | Page Views: 0
